episode,epsilon,Q_Up,Q_Down,Q_LEFT,Q_RIGHT,visits
143,0.9985843,-1904.0320797662014,-1940.450880984592,-2.3408375405927497,-7517.909167927978,99.0
144,0.9985744,-1904.0320797662014,-1940.450880984592,-2.3408375405927497,-7517.909167927978,99.0
145,0.9985645,-1713.9799415520097,-1415.5593795054938,-2.8281577373686186,-7089.839748198238,110.0
146,0.9985546,-1713.9799415520097,-1415.5593795054938,-2.8281577373686186,-7089.839748198238,110.0
147,0.9985447,-1543.0263551559826,-1415.5593795054938,-2.8281577373686186,-7380.855773378415,112.0
148,0.9985348,-1389.1741655958847,-1415.5593795054938,-2.8281577373686186,-7380.855773378415,113.0
149,0.9985249,-1250.726088171356,-1274.4122603576789,-3.119381845801567,-7642.770196040573,119.0
150,0.998515,-1250.726088171356,-1274.4122603576789,-3.119381845801567,-7642.770196040573,119.0
151,0.9985051,-1250.726088171356,-1274.4122603576789,-3.119381845801567,-7642.770196040573,119.0
152,0.9984952,-1250.726088171356,-1274.4122603576789,-3.119381845801567,-7642.770196040573,119.0
153,0.9984853,-1013.9955188094159,-1147.3798531246453,-3.2162624639557658,-6572.287185129331,126.0
154,0.9984754,-913.0892226799384,-1147.3798531246453,-3.2162624639557658,-6572.287185129331,127.0
155,0.9984655,-822.2756531766715,-1033.0602777961124,-3.409733155290318,-6323.929188940297,133.0
156,0.9984556,-822.2756531766715,-1033.0602777961124,-3.409733155290318,-6323.929188940297,133.0
157,0.9984457,-822.2756531766715,-1033.0602777961124,-3.409733155290318,-6323.929188940297,133.0
158,0.9984358,-822.2756531766715,-1033.0602777961124,-3.69921428161418,-6691.5362700462665,137.0
159,0.9984259,-822.2756531766715,-1033.0602777961124,-3.69921428161418,-6691.5362700462665,137.0
160,0.998416,-740.5453279356678,-930.2204722303809,-3.69921428161418,-6691.5362700462665,139.0
161,0.9984061,-740.5453279356678,-930.2204722303809,-3.69921428161418,-6691.5362700462665,139.0
162,0.9983962,-740.5453279356678,-930.2204722303809,-3.69921428161418,-6691.5362700462665,139.0
163,0.9983863,-740.5453279356678,-930.2204722303809,-3.69921428161418,-6691.5362700462665,139.0
164,0.9983764,-740.5453279356678,-930.2204722303809,-3.69921428161418,-6691.5362700462665,139.0
165,0.9983665,-740.5453279356678,-930.2204722303809,-3.69921428161418,-6691.5362700462665,139.0
166,0.9983566,-600.81002200171,-612.0453539975786,-4.131320320036968,-7022.38264304164,150.0
167,0.9983467,-541.2591578832682,-612.0453539975786,-4.131320320036968,-7022.38264304164,151.0
168,0.9983368,-487.6707574389544,-612.0453539975786,-4.131320320036968,-7022.38264304164,152.0
169,0.9983269,-487.6707574389544,-612.0453539975786,-4.131320320036968,-7022.38264304164,152.0
170,0.998317,-487.6707574389544,-612.0453539975786,-4.131320320036968,-7022.38264304164,152.0
171,0.9983071,-487.6707574389544,-612.0453539975786,-4.131320320036968,-7022.38264304164,152.0
172,0.9982972,-487.6707574389544,-612.0453539975786,-4.131320320036968,-7022.38264304164,152.0
173,0.9982873,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
174,0.9982774,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
175,0.9982675,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
176,0.9982576,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
177,0.9982477,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
178,0.9982378,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
179,0.9982279,-321.86601578946846,-496.7333290895259,-4.227188999716931,-7022.38264304164,159.0
180,0.998218,-321.86601578946846,-496.7333290895259,-4.384712268462893,-7022.38264304164,160.0
181,0.9982081,-290.2805293861716,-447.6035486086366,-4.48032755619443,-5689.270336615191,165.0
182,0.9981982,-290.2805293861716,-447.6035486086366,-4.48032755619443,-5689.270336615191,165.0
183,0.9981883,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
184,0.9981784,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
185,0.9981685,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
186,0.9981586,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
187,0.9981487,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
188,0.9981388,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
189,0.9981289,-290.2805293861716,-447.6035486086366,-4.48032755619443,-6120.343302953672,166.0
190,0.998119,-290.2805293861716,-403.38674617583615,-4.48032755619443,-6508.308972658305,168.0
191,0.9981091,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
192,0.9980992,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
193,0.9980893,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
194,0.9980794,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
195,0.9980695,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
196,0.9980596,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
197,0.9980497,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
198,0.9980398,-261.7960288756177,-363.59162398631577,-4.48032755619443,-5858.086363404266,171.0
199,0.9980299,-236.15997841611917,-1327.2324615876842,-4.48032755619443,-5858.086363404266,173.0
500,0.99505,-221.90222576846878,-796.2093925536832,-9.459869796328128,-7923.899752728929,449.0
1000,0.9901,-1384.9084216794809,-663.6524384232971,-11.55303853462948,-8034.568027682202,944.0
1500,0.98515,-645.7838833796128,-1717.0066055122447,-13.456777357397563,-8833.608218975616,1463.0
2000,0.9802,-960.381276684297,-2241.7880149113553,-13.311854079859001,-8808.678601633621,1965.0
